hour,temperature,humidity,windspeed,bike_count
6,24,45,22,0
19,10,66,9,20
14,35,88,17,13
10,23,49,8,26
7,15,35,21,0
20,14,48,7,48
6,39,86,21,0
18,20,34,15,62
22,13,32,24,53
10,22,88,8,0
10,20,30,6,54
23,12,87,24,0
20,10,89,20,0
3,15,67,22,0
7,27,44,12,18
23,33,63,7,111
2,19,64,13,0
21,14,78,24,0
20,32,54,10,108
1,19,53,14,0
23,21,41,14,109
11,11,47,17,0
5,22,44,21,0
1,17,73,13,0
20,11,45,21,15
0,29,56,13,0
11,10,37,13,8
21,14,89,5,0
11,18,75,6,0
16,26,54,20,52
9,18,46,5,25
15,20,58,14,28
14,24,82,22,0
14,33,37,12,74
18,15,44,15,46
11,32,56,6,64
22,12,75,12,18
19,39,79,12,71
2,26,81,21,0
4,14,36,19,0
18,39,32,21,121
6,37,58,17,18
20,21,73,23,5
8,27,82,9,0
6,23,53,16,0
17,30,89,5,33
3,33,87,9,0
13,20,32,12,54
17,18,49,17,30
8,11,75,12,0
20,21,44,15,73
1,12,54,5,0
19,12,59,17,1
14,10,43,23,0
6,17,36,7,13
11,31,46,21,31
7,37,73,9,10
14,38,49,24,66
2,17,65,12,0
13,20,38,18,28
16,18,67,8,11
3,14,77,15,0
17,23,86,24,0
7,37,89,19,0
3,39,51,23,31
1,12,83,11,0
5,30,82,23,0
21,14,82,23,0
9,14,31,15,9
3,28,53,9,12
21,36,37,9,142
17,23,40,12,61
11,35,42,14,66
1,39,46,10,36
9,13,37,19,0
3,34,50,20,15
13,22,47,21,10
15,19,59,12,33
14,34,47,12,81
7,27,75,13,0
13,17,76,6,1
22,17,60,19,38
7,16,67,22,0
20,17,61,7,43
15,23,40,21,45
12,28,74,8,11
17,38,54,8,98
14,15,62,18,5
20,10,89,13,0
23,32,67,13,86
12,24,70,22,0
8,10,37,14,0
14,34,40,8,101
12,26,51,16,35
0,10,80,12,0
6,24,53,6,11
8,32,70,17,0
23,11,46,20,46
0,23,41,6,0
11,30,86,15,0
7,17,75,14,0
23,17,61,19,33
10,28,44,21,35
18,16,45,12,37
16,28,83,22,9
7,15,51,13,0
2,15,57,12,0
2,12,49,18,0
0,16,62,22,0
4,28,39,24,0
9,17,69,24,0
6,19,61,16,0
8,29,79,23,0
6,24,89,18,0
8,24,62,21,0
7,38,31,7,83
11,10,62,11,0
1,29,62,21,0
0,39,70,16,0
15,16,42,13,25
22,36,59,19,97
22,13,62,22,0
23,38,42,17,149
4,15,81,12,0
2,34,55,18,0
11,10,51,12,4
7,38,68,18,14
21,14,31,11,86
2,36,67,16,0
0,32,68,15,0
2,10,55,15,0
4,39,75,17,0
14,13,87,22,0
13,31,79,6,23
2,11,44,19,0
0,19,63,24,0
4,14,71,22,0
22,36,84,19,60
13,19,73,23,0
6,10,78,16,0
8,31,69,17,3
14,15,40,15,42
14,22,32,9,91
9,24,88,5,0
12,13,35,7,40
18,22,38,23,72
6,33,35,11,47
16,29,38,16,84
19,33,68,19,61
3,24,60,9,0
4,38,61,19,0
22,17,70,12,22
6,14,79,14,0
12,38,41,20,76
14,24,37,12,73
10,13,37,5,28
3,21,79,16,0
12,22,57,9,26
6,11,49,7,0
18,36,76,5,91
21,28,88,8,42
1,28,36,12,7
9,13,40,7,14
12,13,49,14,0
20,35,45,6,109
5,20,33,15,5
11,36,35,14,81
11,14,87,18,0
19,29,51,11,93
10,20,55,6,7
22,39,32,13,157
6,19,70,20,0
0,17,89,17,0
0,15,71,13,0
19,15,43,24,14
12,17,40,8,36
8,32,47,14,60
2,24,83,16,0
6,35,41,21,30
5,23,52,18,0
7,20,41,18,0
8,21,42,6,34
4,35,54,24,0
0,22,74,15,0
18,17,80,20,0
9,39,87,23,0
11,27,48,10,43
23,34,84,23,67
14,10,75,9,0
21,24,65,8,62
23,17,74,19,1
8,37,37,8,80
19,20,58,24,28
16,21,84,14,0
16,21,82,7,0
19,13,84,9,0
11,25,61,10,23
6,13,80,12,0
1,14,73,11,0
2,33,47,14,0
16,14,35,10,54
4,17,47,18,0
16,19,48,8,48
23,26,51,17,86
16,37,66,24,48
16,35,61,21,56
1,18,85,11,0
1,31,70,8,0
21,28,88,18,35
22,38,32,7,159
4,23,57,9,0
0,17,39,20,0
0,18,80,24,0
18,31,64,8,76
1,20,58,6,0
20,32,83,22,6
11,10,44,23,0
5,23,62,23,0
22,14,36,21,69
3,30,41,18,8
22,35,78,23,43
10,23,59,17,0
23,13,50,16,55
16,31,60,10,60
5,32,87,8,0
23,34,53,23,97
4,10,49,20,0
19,31,66,17,75
1,32,33,8,28
5,28,57,21,0
21,17,73,5,19
10,24,49,22,0
15,30,89,24,0
15,24,53,21,6
0,18,79,19,0
8,30,78,15,0
5,18,80,17,0
15,19,61,5,37
2,29,70,21,0
19,34,65,10,70
3,30,87,8,0
18,35,82,24,9
2,18,63,20,0
18,12,65,19,7
19,29,31,19,79
6,34,44,10,38
19,35,63,19,65
8,20,65,18,0
0,15,35,15,0
7,11,68,11,0
6,16,71,13,0
17,27,80,20,17
7,36,80,9,11
0,11,87,24,0
10,36,83,14,6
17,26,41,22,67
22,20,32,7,101
9,36,74,17,0
2,21,47,15,0
6,36,69,21,0
15,28,50,17,50
15,31,44,10,78
19,33,62,21,44
16,34,64,17,42
1,16,55,23,0
0,29,37,23,0
15,15,65,14,0
11,30,77,7,27
4,33,59,18,0
4,10,52,23,0
22,26,71,9,57
8,38,73,9,26
8,20,43,24,0
2,31,43,21,0
18,35,31,14,130
15,37,84,9,19
15,27,66,8,65
2,30,34,10,37
19,26,67,8,54
23,16,74,11,24
21,26,70,11,47
23,29,83,22,39
0,18,89,7,0
23,26,76,5,67
19,29,43,8,112
10,31,85,10,0
16,31,68,13,34
7,37,54,18,47
3,38,49,16,29
5,17,31,24,0
7,26,68,8,0
19,16,35,16,49
2,10,46,14,0
15,22,88,11,0
2,39,54,7,39
17,32,86,18,8
13,28,57,14,23
17,36,31,20,107
1,33,64,20,0
21,28,66,14,44
2,39,34,17,43
15,39,30,10,109
8,38,69,16,26
3,26,41,13,0
0,22,85,17,0
3,38,65,8,12
0,39,74,15,0
13,25,52,24,18
20,17,76,22,0
15,28,60,15,28
19,27,40,8,107
23,10,39,22,52
7,23,32,5,33
6,28,83,11,0
2,24,43,10,0
16,27,45,19,57
0,11,39,22,0
15,31,58,15,50
11,37,39,24,65
18,26,41,19,57
21,27,59,20,64
22,39,70,11,111
21,15,30,14,93
13,28,34,16,44
5,13,49,18,0
5,10,37,9,0
12,17,72,22,0
18,38,41,9,125
21,32,30,7,138
7,16,86,9,0
1,12,83,21,0
20,19,49,23,49
0,19,57,23,0
14,28,86,16,22
0,23,72,13,0
4,11,66,5,0
15,37,76,22,4
18,10,66,8,18
3,32,41,14,19
2,32,66,11,0
16,37,78,5,68
16,27,78,21,0
11,16,85,6,0
13,38,73,15,49
20,17,85,13,0
5,10,57,11,0
2,34,76,21,0
8,32,44,21,41
4,12,35,6,0
23,33,73,10,79
16,32,88,18,8
13,36,49,10,80
20,38,79,6,76
2,17,43,5,0
0,31,31,14,6
19,34,38,9,117
20,24,66,6,67
22,14,49,20,37
0,12,55,6,0
2,28,58,14,0
17,10,30,6,43
9,37,84,20,0
21,24,64,20,34
2,17,35,23,0
7,11,66,11,0
13,12,82,16,0
23,33,88,19,45
17,23,34,12,78
14,33,62,10,63
21,23,78,14,37
22,20,80,7,38
1,25,43,23,0
9,13,41,21,0
1,29,71,11,0
16,14,49,24,0
7,31,82,8,0
0,30,79,18,0
8,23,53,24,0
10,32,88,19,0
21,25,72,12,50
15,27,63,19,10
6,16,54,24,0
9,19,79,18,0
22,16,58,13,45
2,10,86,12,0
17,32,68,21,61
23,30,60,6,110
12,28,85,7,16
6,25,76,12,0
3,38,72,16,0
12,28,79,5,18
19,13,52,14,17
0,38,73,24,0
7,37,67,7,24
13,27,49,10,48
15,11,52,11,26
13,10,74,24,0
11,24,81,22,0
18,14,45,15,48
22,29,79,23,42
14,20,71,9,15
1,19,89,23,0
1,11,84,15,0
22,12,37,16,52
21,32,79,14,62
18,32,50,12,112
21,21,30,13,118
21,29,84,8,40
16,14,37,9,34
19,14,58,12,40
9,15,61,13,0
5,39,67,19,0
14,18,34,19,41
21,11,76,20,0
10,30,51,18,34
4,21,76,12,0
0,12,63,22,0
7,29,30,14,40
20,35,84,24,45
11,31,84,10,8
11,21,55,16,9
4,33,72,6,0
6,26,39,11,44
3,19,59,20,0
5,39,79,7,16
12,33,47,17,51
19,36,46,7,122
14,23,55,22,15
2,32,37,15,0
22,26,76,12,55
7,27,69,10,12
19,28,78,5,57
15,26,41,5,71
12,23,56,12,27
17,18,37,9,76
9,17,54,20,0
18,11,75,15,0
16,22,33,9,76
23,34,62,8,105
18,16,30,10,79
22,18,48,18,41
4,31,60,23,0
20,31,45,13,115
22,20,43,16,89
8,23,82,15,0
11,13,77,18,0
20,35,34,20,111
0,35,70,5,0
0,38,55,17,0
14,22,57,17,15
1,11,31,6,0
21,32,79,8,79
15,14,35,10,27
7,20,38,9,20
12,15,62,7,0
20,27,70,5,80
0,30,54,8,0
15,19,77,24,0
6,13,42,6,2
4,18,38,9,0
21,15,82,7,22
22,11,42,13,51
2,26,60,24,0
11,14,70,10,0
15,34,40,22,105
18,15,33,10,64
4,35,63,23,0
21,21,67,16,30
13,32,75,15,18
4,30,33,6,21
14,19,67,19,0
16,31,48,16,82
13,30,35,16,74
19,36,63,13,69
4,34,47,6,31
11,15,42,7,0
15,36,70,16,55
15,17,52,20,0
20,11,48,5,50
6,21,74,7,0
3,22,40,24,0
0,34,30,6,45
4,30,53,13,12
22,16,83,23,0
9,19,36,19,23
21,22,54,22,43
4,26,50,15,11
3,35,44,20,0
1,30,30,21,16
19,37,41,9,117
9,39,87,16,0
18,35,36,15,116
0,23,44,19,0
23,11,50,7,65
4,37,48,5,35
12,31,89,24,0
3,20,58,20,0
15,10,54,6,4
23,28,62,6,100
15,30,78,7,31
22,13,61,12,36
1,28,78,19,0
16,35,64,11,69
19,38,73,10,81
23,30,67,13,73
11,20,55,24,0
17,17,40,5,63
2,20,64,12,0
0,13,37,7,0
0,26,75,8,0
18,36,43,19,111
10,16,39,10,13
4,17,31,19,0
11,12,75,7,0
2,31,38,18,25
0,11,32,24,0
0,32,50,18,0
7,24,55,8,19
9,33,37,16,49
10,31,77,21,0
11,31,31,11,58
12,14,35,13,29
11,33,57,7,70
13,10,82,17,0
1,35,58,19,0
18,13,55,22,20
17,24,54,23,27
2,29,41,5,22
22,28,34,10,114
16,12,63,6,4
7,29,77,18,0
9,20,66,10,0
1,26,44,18,0
18,39,73,8,73
8,36,65,12,29
6,22,44,7,16
3,20,72,23,0
20,11,77,18,0
17,18,52,24,16
12,35,35,21,78
10,11,75,12,0
23,30,79,18,45
3,18,73,10,0
20,18,88,20,0
3,17,72,23,0
9,26,74,18,0
